node,degree,wdegree,pagerank,is_oncokb,betweenness,closeness,clustering,degree_rank,wdegree_rank,pagerank_rank,betweenness_rank,closeness_rank,clustering_rank,is_cosmic,is_tcga
PRKACG,22,19.708,0.000465151574205511,False,0.0,0.0,0.0,180.0,190.0,48.0,1.0,1.0,2273.0,False,False
MRPS15,22,20.235,0.00019688707527447621,False,0.0,0.0,0.05627705627705628,180.0,174.0,735.0,1.0,1.0,1219.0,False,False
POLR3A,22,17.895,0.00020769759675979825,False,0.0,0.0,0.012987012987012988,180.0,239.0,630.0,1.0,1.0,2147.0,False,False
SIRT1,22,18.951999999999998,0.00035425622660501606,False,0.0,0.0,0.012987012987012988,180.0,205.0,112.0,1.0,1.0,2147.0,False,False
CBL,22,19.217,0.00042858164265810385,True,0.0,0.0,0.012987012987012988,180.0,199.0,63.0,1.0,1.0,2147.0,False,False
H2AC20,22,18.787,0.0002982610901910029,False,0.0,0.0,0.03896103896103896,180.0,212.0,188.0,1.0,1.0,1566.0,False,False
RPL21,22,19.864,0.00020010654241203163,False,0.0,0.0,0.047619047619047616,180.0,184.0,696.0,1.0,1.0,1331.0,False,False
JAK2,22,18.823999999999998,0.0003836514206833661,True,0.0,0.0,0.025974025974025976,180.0,210.0,83.0,1.0,1.0,1903.0,False,False
NDUFAB1,22,19.898,0.000253590041023458,False,0.0,0.0,0.025974025974025976,180.0,183.0,331.0,1.0,1.0,1903.0,False,False
DHX15,22,20.026,0.00030316744301563516,True,0.0,0.0,0.025974025974025976,180.0,179.0,184.0,1.0,1.0,1903.0,False,False
RPL27,22,19.349,0.0002001404279455643,False,0.0,0.0,0.05627705627705628,180.0,196.0,695.0,1.0,1.0,1219.0,False,False
PCNA,22,19.099,0.0003627643289267154,False,0.0,0.0,0.025974025974025976,180.0,203.0,98.0,1.0,1.0,1903.0,False,False
